,author,title,library_type,day,month,year,challenge_date,state
4375,"Mesrobian, Carrie",Perfectly Good White Boy,School,1,1,2023,2023-01-01,FL
4376,"Mesrobian, Carrie",Perfectly Good White Boy,School,1,3,2022,2022-03-01,TX
4377,"Mesrobian, Carrie",Perfectly Good White Boy,School,1,11,2021,2021-11-01,UT
4378,"Percival, Tom",Perfectly Norman,School,1,1,2022,2022-01-01,TX
4380,"Satrapi, Marjane",Persepolis 2: The Story of a Return,School,1,9,2022,2022-09-01,MO
4382,"Satrapi, Marjane",Persepolis: The Story of a Childhood,School,1,9,2022,2022-09-01,MO
4383,"Satrapi, Marjane",Persepolis: The Story of a Childhood,School,1,3,2022,2022-03-01,PA
4384,"Satrapi, Marjane",Persepolis: The Story of a Childhood,School,1,2,2021,2021-02-01,TX
4385,"Emezi, Akwaeke",Pet,School,1,7,2022,2022-07-01,FL
4386,"Emezi, Akwaeke",Pet,School,1,1,2022,2022-01-01,FL
4388,"Emezi, Akwaeke",Pet,School,1,2,2022,2022-02-01,TX
4389,"Emezi, Akwaeke",Pet,School,1,12,2021,2021-12-01,TX
4390,"Emezi, Akwaeke",Pet,School,1,1,2022,2022-01-01,PA
4391,"King, Stephen",Pet Sematary,School,1,2,2023,2023-02-01,PA
4392,"Barrie, James Matthew",Peter and Wendy,School,1,10,2021,2021-10-01,TN
4393,"Finch, Michelle and FInch, Phoenix",Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,School,1,7,2021,2021-07-01,IN
4394,"Picoult, Jodi",Picture Perfect,School,1,2,2023,2023-02-01,FL
4395,"Watson, Renée",Piecing Me Together,School,1,4,2022,2022-04-01,MS
4396,"Brown, Pierce",Pierce Brown's Red Rising: Sons of Aresl,School,1,9,2022,2022-09-01,MO
4397,"Wilkinson, Lili",Pink,School,1,2,2022,2022-02-01,TX
4398,"Wilkinson, Lili",Pink,School,1,12,2021,2021-12-01,TX
4399,"Pearlman, Robb",Pink is for Boys,School,1,9,2021,2021-09-01,PA
4400,"Pearlman, Robb",Pink is for Boys,School,1,1,2022,2022-01-01,FL
4401,"Gravel, Elise and Blais, Mykaell","Pink, Blue, and You! Questions for Kids about Gender Stereotypes",Public,1,9,2022,2022-09-01,WA
4402,"Rickards, Lynne",Pink!,School,1,1,2022,2022-01-01,FL
