,author,title,library_type,day,month,year,challenge_date,state
4612,"Jiang, Ji-li","Red Kite, Blue Kite",School,1,9,2021,2021-09-01,PA
4613,"McQuiston, Casey","Red, White and Royal Blue",School,1,10,2022,2022-10-01,OH
4614,"McQuiston, Casey","Red, White and Royal Blue",School,1,9,2022,2022-09-01,VA
4615,"McQuiston, Casey","Red, White and Royal Blue",School,1,1,2023,2023-01-01,TX
4616,"McQuiston, Casey","Red, White and Royal Blue",School,1,10,2022,2022-10-01,FL
4618,"McQuiston, Casey","Red, White and Royal Blue",School,1,9,2022,2022-09-01,MI
4619,"McQuiston, Casey","Red, White and Royal Blue",School,1,9,2022,2022-09-01,MI
4622,"McQuiston, Casey","Red, White and Royal Blue",School,1,11,2022,2022-11-01,NC
4623,"Hall, Michael",Red: A Crayon's Story,School,1,7,2022,2022-07-01,FL
4624,"Hall, Michael",Red: A Crayon's Story,School,1,10,2022,2022-10-01,FL
4625,"Hall, Michael",Red: A Crayon's Story,School,1,1,2023,2023-01-01,FL
4626,"Hall, Michael",Red: A Crayon's Story,Public,1,11,2021,2021-11-01,TX
