ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
7532,"Lyga, Barry",Mangaman,,,"Doran, Colleen",Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7533,"O'Malley, Bryan Lee",Scott Pilgrim Vol. 5: Scott Pilgrim vs. the Universe,,,,Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7534,"Rivera, Gabby",Juliet Takes a Breath,,,,Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7535,"Thompson, Craig",Blankets,,,,Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7536,"Vivès, Bastien",Last Man: The Royal Cup,Last Man,"Sanlaville, Michaël; Balak","Siegel, Alexis",Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7537,"Ahonen, J.P.",Sing No Evil,Sing No Evil,"Alare, K.P.",,Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7538,"Toma, Rei","The Water Dragon's Bride, Vol. 8",The Water Dragon's Bride,,,Internal/Administrative Review,Administration,Off Shelves,"After a new library policy was adopted July 1, the district reviewed library books and created an official OPT IN list.",Retained Restricted,Yes,Parents must OPT IN student to list,School,9,2023,WY,Natrona County Schools,,Natrona,,,,,09/18/23,https://cowboystatedaily.com/2023/09/07/natrona-county-high-schools-have-11-books-on-explicit-opt-in-list/,,,,
7539,"Willhoite, Michael",Daddy's Roommate,,,,Internal/Administrative Review,Administration,Off Shelves,"Miami-Dade County Public Schools has confirmed that following a book audit, three works that were taken off the school library shelves this year because of their ""adult content"" or ""sexually charged language.""",Weeded/Deselected,,,School,8,2023,FL,Miami-Dade County School Disrict,,Dade County,,,Unknown,,09/19/2023,https://www.miaminewtimes.com/news/lgbtq-picture-book-daddys-roommate-removed-from-miami-dade-schools-17583694,,,,
7540,"Groff, Lauren",Fates and Furies,,,,Internal/Administrative Review,Administration,Off Shelves,"Miami-Dade County Public Schools has confirmed that following a book audit, three works that were taken off the school library shelves this year because of their ""adult content"" or ""sexually charged language.""",Weeded/Deselected,,,School,8,2023,FL,Miami-Dade County School Disrict,,Dade County,,,Unknown,,09/19/2023,https://www.miaminewtimes.com/news/lgbtq-picture-book-daddys-roommate-removed-from-miami-dade-schools-17583694,,,,
7541,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Internal/Administrative Review,Administration,Off Shelves,"Miami-Dade County Public Schools has confirmed that following a book audit, three works that were taken off the school library shelves this year because of their ""adult content"" or ""sexually charged language.""",Weeded/Deselected,,,School,8,2023,FL,Miami-Dade County School Disrict,,Dade County,,,Unknown,,09/19/2023,https://www.miaminewtimes.com/news/lgbtq-picture-book-daddys-roommate-removed-from-miami-dade-schools-17583694,,,,
