ID,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated
1,"Allison, John",Giant Days : Volume 1,Giant Days,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
2,"Allison, John",Giant Days: Not On the Test Edition Volume 1 - Fall Semester,Giant Days,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
3,"Allison, John",Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,Giant Days,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
4,"Barnes, Derrick","Trivia Queen, Third Grade Supreme",Ruby and the Booker Boys,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,,PA,Central York School District,,York,,,,,,,,,,
5,"Barnes, Derrick",The Slumber Party Payback,Ruby and the Booker Boys,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
6,"Barnes, Derrick",Ruby Flips for Attention,Ruby and the Booker Boys,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,,PA,Central York School District,,York,,,,,,,,,,
7,"Brown, Monica",Lola Levine: Drama Queen,Lola Levine,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
8,"Brown, Monica",Lola Levine and the Ballet Scheme,Lola Levine,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
9,"Sotamayor, Sonia","¡Solo pregunta!: Sé Diferente, Sé Valiente, Sé Tú",,,,Administrative Review,Administration,Challenged - Removed While Under Review,Pulled (against policy)and returned to shelves after national outcry,Returned,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
10,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,RETURNED - FL as 5/2022,,,,,,
11,"Thomas, Rachael L.",#BlackLivesMatter: Protesting Racism,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
12,"McNeil, Gretchen",#MurderTrending,,,,,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,,,,,
13,"McNeil, Gretchen",#MurderTrending,,,,Informal Challenge,School/Library Board Member,Challenged - Location Unknown,"Board member asked for review for ""concerning content",Unknown,,,School,February,2022,VA,Bedford County School District,,Bedford,,,Unknown,,,,,,,
14,"McNeil, Gretchen",#MurderTrending,,,,Informal Challenge,Affiliation Unknown,On shelves,,Unknown,,,School,Unclear,,KN,Goddard,,,,,Unknown,,,,,,,
15,"McNeil, Gretchen",#MurderTrending,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,January,2022,GA,Savannah-Chatham County Public School SYstem,,,,,Unknown,,,,,,,
16,"Mac, Carrie",10 Things I Can See from Here,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
17,"Mac, Carrie",10 Things I Can See from Here,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
18,"Mac, Carrie",10 Things I Can See from Here,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
19,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Informal Challenge,Group,Challenged - Location Unknown,NLTE,Unknown,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,Clay County Website With Links,,,,
20,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Response to Law,,Challenged - Location Unknown,,Retained Restricted,,Restricted to 4/5 - must have parent permission and books must be given to parent to check out,School,July,2022,FL,Seminole County Public Schools,,Seminole,,,,,,Florida Freedom to Read Project,,,,
21,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",,,Challenged - Removed While Under Review,,Unknown,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,From district website - update late Jan,,,,
22,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Informal Challenge,Group,Challenged - Location Unknown,Area resident representing Muslim parental advocacy asked to remove 36 books. It seems some of these might not be in school - and some might have already been challenged.,N/A,,,School,March,2023,OH,Hilliard Board of Education,,,,,,,4/18/2023,https://news.wosu.org/news/2023-04-17/book-challenges-increase-in-ohio-across-us-as-groups-seek-to-ban-multiple-titles,https://www.dispatch.com/story/news/local/2023/02/14/hilliard-school-board-urged-not-to-give-in-to-fear-mongering-lawsuit/69901141007/,,,
23,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",,Elected Representative,On shelves,,Reshelved,,Jan 2023 - confirmed still on shelves in children's area,Public,12,2022,NE,Keene Memorial Library,,,,Keene Memorial Library,,,,,,,,
24,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,Challenged - Removed While Under Review,,Still in Process,,,Public,,2022,LA,St. Tammany Parish Library,,,,St. Tammany Parish Library,,,,,,,,
26,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Formal Challenge,Parent,Challenged - Removed While Under Review,,Still in Process,,,School,4,2023,OR,Canby School District,,,,,,,4/15/2023,https://www.kptv.com/2023/04/11/canby-parents-students-upset-after-36-books-pulled-school-libraries/,,,,
27,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Formal,,Challenged - Location Unknown,,Banned,,,School,January,2023,PA,Central York School District,,York,,,,,,https://www.yorkdispatch.com/story/news/education/2023/03/14/more-than-year-after-book-ban-backlash-central-york-quietly-removes-novel-from-library/70005164007/,,,,
28,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,Challenged - Location Unknown,,Banned,,,School,March,2023,CO,Greeley-Evans School District 6,,Weld,,,,,,https://www.greeleyschools.org/Page/26613,,,,
29,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,Challenged - Location Unknown,,Banned,,,School,February,2023,FL,Martin County Schools,,Martin,,,,,,https://www.wptv.com/news/education/dozens-of-books-removed-from-martin-county-schools,,,,
30,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,Challenged - Location Unknown,,Banned,,,School,February,2023,PA,Penncrest,,,,,,,,https://news.yahoo.com/pulitzer-prize-winners-fantasy-series-144800265.html,,,,
31,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,Challenged - Location Unknown,,Banned,,,School,September,2023,TX,Conroe ISD,,,,,,,,https://www.conroeisd.net/library-services/,,,,
32,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,A M4L member began challenging books in the district in the Fall and the reviews continued. Seems as if these books were removed by the administration.,Banned,,,School,4,2023,KN,Gardner Edgerton School District 231,,,,,,,4/18/2023,in efiles,,,,
33,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed f",Retained Restricted,Yes,Restricted to HS,School,4,2023,NC,Cumberland County Schools,,Cumberland,,,,On Shelves,4/22/2023,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,
34,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,AR,Bentonville,,,,,Unknown,,,,,,,
35,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,Removed 3/13 schools removed ebook,Banned,,,School,November,2021,FL,Brevard County Public Schools,,Brevard,,,Unknown,,,Brevard Cty M4L Site Stating They Are On Quarentine,,,,
36,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Formal,Affiliation Unknown,On shelves,,Banned/Removed,,,School,March,2022,NC,Catawba County Schools,,Catawba,,,Unknown,,,https://www.qcnews.com/news/u-s/north-carolina/catawba-county/catawba-county-schools-chooses-to-restrict-an-additional-book/,https://docs.google.com/spreadsheets/d/1t3g4jeRvZtX0e8g0qplRcBpJf0Ohr3oMQe52kBWGGVY/edit#gid=0,,,10/03/2023
37,"Ewert, Marcus","10,000 Dresses",,,"Ray, Rex",Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
38,"Henderson, Elizabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",,,,Unclear,Administration,Challenged - Removed While Under Review,,Retained,,,School,January,2022,TX,Cypress-Fairbanks,,,,,Unknown,Krause List,,,,,,
39,"Henderson, Elizabeth","100 Questions You'd Never Ask Your Parents: Straight Answers to a Teens' Questions About Sex, Sexuality, and Health",,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,removed while under investigation.,Unknown,,,School,Fall,2021,TX,Klein ISD,,,,,Unknown,,,,,,,
40,"Gravett, Paul","1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga",,,,Response to Law,,Challenged - Removed While Under Review,,Unknown,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
41,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
42,"Brynie, Faith Hickman",101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
43,"Brynie, Faith Hickman","101 Questions About Sex & Sexuality: With Answers For The Curious, Cautious, and Confused",,,,Administrative Review,Affiliation Unknown,Challenged - Removed While Under Review,,Retained,,,School,January,2022,TX,Cypress-Fairbanks,,,,,Unknown,,,,,,,
44,"King, Stephen",11/22/63,,,,Administrative Review,,Challenged - Removed While Under Review,"School board gave themselves a new policy that basically allows them to pull any reported ""sexually expolicit"" library boards.",Banned,,,School,January,2023,VA,Madison County Public Schools,,Madison,,,,,,https://www.newsweek.com/virginia-school-board-ban-books-stephen-king-margaret-attwood-1775323,,,,
45,"Deedy, Carmen Agra",14 Cows for America,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School,January,2022,FL,Duval County Public Schools,,Duval,,,Unknown,,,,,,,
46,"Levithan, David",19 Love Songs,,,,Unclear,Affiliation Unknown,On shelves,,Unknown,,,School,January,2022,TX,Prosper ISD,,,,,Unknown,,,,,,,
47,"Levithan, David",19 Love Songs,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
48,"Orwell, George",1984 The Graphic Novel,,,,Response to Law,,Challenged - Removed While Under Review,,Banned,,,School,November,2022,MO,Lindbergh Schools,,,,,,,,New Missouri Law Aims to Ban Your Books,,,,
49,"Orwell, George",1984 The Graphic Novel,,,,Response to Law,,Challenged - Removed While Under Review,,Banned,,,School,September,2022,MO,Kirkwood School District,,,,,,,,,,,,
50,"Orwell, George",1984 The Graphic Novel,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,PA,Penncrest,,,,,,,,,,,,
51,"Orwell, George",1984 The Graphic Novel,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,PA,Penncrest,,,,,,,,,,,,
52,"Bradley, Alex",24 Girls in 7 Days,,,,Formal Challenge,Parent,Challenged - Location Unknown,parent continued the complaint process even though it was WEEDED,Weeded/Deselected,,,School,12,2021,TX,Frisco ISD,,,,,Unknown,,,,,,,
53,"Lassieur, Allison",25 Women Who Dared to Go,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
54,"Sherman, Jill",25 Women Who Fought Back,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
55,"Stanborough, Rebecca J",25 Women Who Ruled,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
56,"Sherman, Jill",25 Women Who Thought of It First,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
57,"Rapp, Adam",33 Snowfish,,,"Ering, Timothy Basil",,,Challenged - Removed While Under Review,,Unknown,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,From district website - update late Jan,,,,
58,"Rapp, Adam",33 Snowfish,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,,Retained Restricted,Yes,pulled from shelves per M4L,School,May,2022,MI,Gladwin Community Schools,,,,,Unknown,,,,,,,
59,"Rapp, Adam",33 Snowfish,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,11/2021 sent note to school?,Retained Restricted,Yes,"School wanted individual complaints per book - no response from parent, online ""outrage""",School,February,2021,UT,Murray City School District,,,,,Unknown,,,,,,,
60,"Rapp, Adam",33 Snowfish,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"committee recommended further review, not immediate censorship",Banned,,,School,May,2022,ID,Nampa School District,,,,,Unknown,,,,,,,
61,"Rapp, Adam",33 Snowfish,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,unconstitutional order to remove book,Unknown,,,School,November,2021,VA,Spotsylvania County Public Schools,,Spotsylvania,,,Unknown,,,,,,,
62,"Mosley, Walter",47,,,,,Community Member,Challenged - Location Unknown,,Retained,Unknown,,School,Unclear,2022,TX,Keller ISD,,,,,,,,https://www.kellerisd.net/Page/7660,,,,
63,"Mosley, Walter",47,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,"Banned: Classroom Libraries
 Retain: Campus Libraries",School,November,2021,TX,Keller ISD,,,,,Unknown,,,,,,,
64,"Adeyoha, Koja and Adeyoha, Angel","47,000 Beads",,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
65,"Köster, Thomas and Röper, Lars",50 Artists You Should Know,,,,Response to Law,,Challenged - Removed While Under Review,,Unknown,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
66,"Lowis, Kristina and Pickeral, Tamsin",50 Paintings You Should Know,,,,Response to Law,,Challenged - Removed While Under Review,,Unknown,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
67,"Kühl, Isabel",50 Sculptures You Should Know,,,,Response to Law,,Challenged - Removed While Under Review,,Unknown,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
68,"Weidemann, Christiane, Klier, Melanie, and Larass, Petra",50 Women Artists You Should Know,,,,Response to Law,,Challenged - Removed While Under Review,,Unknown,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
69,San Francisco Writers Grotto,642 Things to Write About,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,was part of the Hudson High School senior College Credit Plus writing class,Retained Restricted,Yes,Removed from curriculum,School,September,2022,OH,Hudson,,,,,Unknown,,,,,,,
70,"Trueman, Terry",7 Days at the Hot Corner,,,,Administrative Review,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Removed,,,School,January,2022,TX,Granbury Independent School District,,,,,Unknown,,,,,,,
71,"Trueman, Terry",7 Days at the Hot Corner,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
72,"Trueman, Terry",7 Days at the Hot Corner,,,,Unclear,Administration,Challenged - Removed While Under Review,,Unknown,,,School,12,2021,TX,North East,,,,,Unknown,Removed from shelves for review on basis of Rep Krause letter,,,,,,
73,"Merey, Ilike",A + E 4ever,,,,,,,"Does not meet content guidelines, removed from circulation",Banned,,,School,Unclear,2022,TX,Keller ISD,,,,,,,,https://www.kellerisd.net/Page/7660,,,,
74,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,Clay County Website With Links,,,,
75,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,,,,,Banned,,,School,12,2022,FL,Lake County Schools,,,,,,,,Florida Freedom to Read Project,,,,
76,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,From district website - update late Jan,,,,
77,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,PA,Penncrest,,,,,,,,,,,,
78,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,Administrative Review,Group,Challenged - Location Unknown,FLCA,Unknown,,,School,1,2022,FL,Collier County Public Schools,,Collier,,,Unknown,,,,,,,
79,"Stone, Tanya Lee",A Bad Boy Can Be Good for a Girl,,,,Unclear,Administration,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,RETURNED - FL as 5/2022,,,,,,
80,"Devore, Laurie",A Better Bad Idea,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
81,"Lin, Grace",A Big Mooncake for Little Star,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
82,"Boelts, Maribeth",A Bike Like Sergio's,,,,Targeted During Board Meeting,Group,Unknown,,,,,School,July,2022,VA,Fauquier County Public Schools,,Fauquier,,,,,,Fauquier County parents clash over book censorship,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,
83,"Boelts, Maribeth",A Bike Like Sergio's,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
84,"Boelts, Maribeth",A Bike Like Sergio's,,,,Informal Challenge,Affiliation Unknown,On shelves,,Unknown,,,School,July,2022,VA,Fauquier County Public Schools,,Fauquier,,,Unknown,,,,,,,
85,"Arnold, Elana K.",A Boy Called Bat,,,,Targeted During Board Meeting,Group,Unknown,,,,,School,July,2022,VA,Fauquier County Public Schools,,Fauquier,,,,,,Fauquier County parents clash over book censorship,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,
86,"Arnold, Elana K.",A Boy Called Bat,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,and MANY more,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
87,"Arnold, Elana K.",A Boy Called Bat,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School,September,2021,PA,Central York School District,,York,,,Unknown,,,,,,,
88,"Arnold, Elana K.",A Boy Called Bat,,,,Informal Challenge,Affiliation Unknown,On shelves,,Unknown,,,School,July,2022,VA,Fauquier County Public Schools,,Fauquier,,,Unknown,,,,,,,
89,"McCarthy, Helen",A Brief History of Manga,,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Wentzville School District,,,,,,,,,,,,
90,"Crichton, Michael",A Case of Need,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Watch to see if they stay on shelves or not - 2/22,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
91,"Whitcomb, Laura",A Certain Slant of Light,,,,Informal Challenge,,Challenged - Location Unknown,,,,,School,July,2022,FL,Clay County School District,,Clay,,,,,,Clay County Website With Links,,,,
92,"Whitcomb, Laura",A Certain Slant of Light,,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,From district website - update late Jan,,,,
93,"Whitcomb, Laura",A Certain Slant of Light,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Retained Restricted,Yes,HIgh School Only,School,November,2021,FL,Indian River County Schools,,Indian River,,,Unknown,,,,,,,
94,"Pelzer, Dave","A Child Called ""It""",,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,From district website - update late Jan,,,,
95,"Martin, George R.R.",A Clash of Kings,,,,,,Challenged - Removed While Under Review,,,,,School,February,2023,PA,Penncrest,,,,,,,,,,,,
96,"Hutchinson, Shaun David",A Complicated Love Story Set in Space,,,,,School/Library Board Member,Challenged - On Shelves,Challenged by a board member during board meeting,,,,School,October,2022,NC,Onslow County Schools,,Onslow County,,,,,,"Explicit Content, personal bias? is onslow county school's graphic books policy working",,,,
97,"Hutchinson, Shaun David",A Complicated Love Story Set in Space,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School,February,2022,TX,McKinney,,,,,Unknown,,,,,,,
98,"Hutchinson, Shaun David",A Complicated Love Story Set in Space,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School,February,2022,TN,Collierville Schools,,Collier,,,Unknown,,,,,,,
99,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,,Related to the Law Change,Banned,,,School,November,2022,UT,Alpine School District,,Utah,,,,,,Books Pulled Alpine,,,,
100,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - On Shelves,Per policy materials remain in use during review,,,,School,November,2022,MD,Frederick County Public Schools,,,,,,,,Documentation from Frederick County Public Schools MD,,,,
101,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,MO,Nixa Public Schools,,,,,,,,Nixa Parents Ask for Nine More Books To Be Removed From HIgh School Library,,,,
102,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,,,Banned,,,School,November,2022,UT,Washington County School District,,Washington,,,,,,,,,,
103,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Removed While Under Review,"Williston High School, Williston Middle School, and Missouri Ridge Elementary",,,,School,September,2022,ND,Williston Basin School District #7,,,,,,,,School Board Meeting Heats Up Over Books Available to Students,,,,
104,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Removed While Under Review,NLTE,Removed,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
105,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Removed While Under Review,,,,,School,January,2023,FL,Clay County School District,,Clay,,,,,,,,,,
106,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Targeted During Board Meeting,Group,Unknown,,,,,School,12,2022,SC,Horry County Schools,,Horry,,,,,,,,,,
107,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Internal/Administrative Review,,Challenged - Removed While Under Review,,,,,School,October,2022,SC,Beaufort County School District,,Beaufort,,,,,,,,,,
108,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Removed While Under Review,,,,,School,September,2022,FL,Escambia County Public Schools,,Escambia,,,,,,,,,,
109,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Location Unknown,,Banned,,,School,September,2022,TX,Conroe ISD,,,,,,,,https://www.conroeisd.net/library-services/,,,,
110,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,Challenged - Location Unknown,,Banned,,,School,February,2023,PA,Penncrest,,,,,,,,https://news.yahoo.com/pulitzer-prize-winners-fantasy-series-144800265.html,,,,
111,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,"Lukashevsky, Ashkley",Internal Review From Library,Administration,Challenged - Removed While Under Review,"After two complaints (possibly more) were received in the district in fall 2022, the district initiated an internal review to “ensure materials are appropriate for students at each grade level.” While under review, the titles were not physically removed f",Retained Restricted,Yes,Restricted to HS,School,4,2023,NC,Cumberland County Schools,,Cumberland,,,,On Shelves,4/22/2023,https://www.fayobserver.com/story/news/education/2023/04/18/the-latest-on-cumberland-county-schools-books-review/70084133007/,https://www.fayobserver.com/story/opinion/2023/02/17/pitts-cumberland-schools-should-stop-the-book-killers-in-their-tracks/69911886007/,,,
112,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,in quarentine,Unknown,,,School,November,2021,FL,Brevard County Public Schools,,Brevard,,,Unknown,,,,,,,
113,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Formal Challenge,Administration,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained/Restricted,Yes,High School Only; Flagged 16+,School,October,2021,OK,Bristow Public Schools,,Creek,,,Unknown,,,,,,,
114,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School,March,2022,TX,Eanes,,,,,Unknown,,,,,,,
115,"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,High School Only Removed Middle School. Requires parent permission.,School,4,2022,FL,St. Johns County School District,,St. Johns,,,Unknown,,,https://www.staugustine.com/story/news/education/2022/08/27/st-johns-county-school-board-keeps-8-books-restricts-some/7896620001/?utm_source=pocket_mylist,,,,10/05/2023
116,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,,,,,School,,,FL,Clay County School District,,Clay,,,,,,,,,,
117,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,Administrative Review,,Challenged - Removed While Under Review,,,,,School,July,2022,FL,Highlands School Board,,Highlands,,,,,,,,,,
118,"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,Related to the Law Change,Banned,,,School,November,2022,UT,Alpine School District,,Utah,,,,,,,,,,
